iter	Passed	Remaining
960	14028	569
961	14037	554
962	14050	539
963	14066	525
964	14076	510
965	14086	495
966	14097	481
967	14108	466
968	14119	451
969	14130	437
970	14139	422
971	14150	407
972	14159	392
973	14170	378
974	14180	363
975	14192	348
976	14203	334
977	14213	319
978	14224	305
979	14235	290
980	14246	275
981	14257	261
982	14276	246
983	14292	232
984	14308	217
985	14319	203
986	14330	188
987	14340	174
988	14351	159
989	14361	145
990	14371	130
991	14381	115
992	14391	101
993	14402	86
994	14412	72
995	14422	57
996	14433	43
997	14443	28
998	14454	14
999	14465	0
